
borg.project 12 "['# -*- Extra requirements: -*-\n          ""borg.localrole>=1.1rc3""'  '""Plone""'  '""setuptools""'  '""plone.app.content""'  '""plone.contentrules""'  '""Products.CMFPlacefulWorkflow""']"
Boris 14 "['lxml>=3.0.1'  'Postcodes>=0.1']"
boto 7373878 []
botocore 68166838 []
boto_rsync 1500 []
boto_utils 1053 "['boto>=2.2.0'  'pytz']"
bottle 1016353 []
bottle-agamemnon 11 []
bottle-cork 683 []
bottle-extras 802 []
bottle-flash 14 []
bottle-hotqueue 20 []
bottle-memcache 19 []
bottle-mongodb 511 []
bottle-mysql 84 []
bottlenose 14716 []
bottle-pgsql 123 []
bottle-pycassa 10 []
bottle-pystache 14 []
bottle-redis 934 []
bottle-request 32 []
bottle-web2pydal 12 []
bottle-websocket 28836 "['bottle'  'gevent-websocket']"
bottle-werkzeug 52 []
boty 11 []
boundaryFlux 17 []
bowerrecipe 108 "['setuptools'  'zc.buildout']"
boxeeremotelib 10 []
bpm 15 []
bpssl 187 ['Django>=1.2']
bpt 16 []
bp.tagging 9 []
brabeion 12 []
brain 79 []
brainatlas 12 []
braintree 225170 "['""requests>=0.11.1'  '<1.0""']"
Brainy 10 []
brasil.vocab 15 "['setuptools'  '# -*- Extra requirements: -*-']"
braspag 11 ['Jinja2']
Bravo 36 "['""numpy""'  '""construct>=2.03""'  '""Twisted>=11.0""']"
br_documents 13 []
breakdown 26 "['jinja2>=2.6'  'CleverCSS']"
Brequire 11 []
brewer2mpl 101963 []
brick 15 []
BridgePython 15 []
bright-vc 25 []
brigit 28 []
brisa-media-server 10 []
brisa-media-server-plugins 6 []
brisa-media-tools 11 []
broadwick 28 []
brockman 7 "['requests>=0.13.0'  'omnijson>=0.1.2']"
brod 13 []
brokenegg 9 []
broken_since 10 []
brotherprint 16 []
Brownie 573 []
Brownstone 12 []
browse 36 []
browsermob-proxy 43158 ['requests>=0.12.1']
Browshot 43 []
brss 15 []
brubeck 94 "['ujson'  'dictshield']"
brubeck-mysql 12 []
brubeck-oauth 26 []
brubeck-uploader 21 []
brutius_slurmimus 11 ['# -*- Extra requirements: -*-']
bsddb3 11218 []
bsdiff4 4500 []
btcnet_info 97 []
